"part_number","material","material_name","relative_permeability","al_nh_per_turn2","od_in","id_in","ht_in","od_mm","id_mm","ht_mm","ae_cm2","le_cm","ve_cm3","fmax_mhz","stock_qty","analyzer_url"
"MS-026090-2","MS","MS - Sendust","90","74","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026090-2"
"MS-026090-8","MS","MS - Sendust","90","74","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026090-8"
"MS-026125-2","MS","MS - Sendust","125","103","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026125-2"
"MS-026125-8","MS","MS - Sendust","125","103","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026125-8"
"MS-026147-2","MS","MS - Sendust","147","122","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026147-2"
"MS-026147-8","MS","MS - Sendust","147","122","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","0.45","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026147-8"
"MS-026160-8","MS","MS - Sendust","160","132","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","0.41","896","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026160-8"
"MS-026160-2","MS","MS - Sendust","160","132","0.26","0.105","0.188","6.604","2.667","4.7752","0.092","1.36","0.125","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-026160-2"
"MS-028014-8","MS","MS - Sendust","14","8","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028014-8"
"MS-028014-2","MS","MS - Sendust","14","8","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028014-2"
"MS-028026-8","MS","MS - Sendust","26","14","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028026-8"
"MS-028026-2","MS","MS - Sendust","26","14","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028026-2"
"MS-028040-2","MS","MS - Sendust","40","22","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028040-2"
"MS-028040-8","MS","MS - Sendust","40","22","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028040-8"
"MS-028060-8","MS","MS - Sendust","60","33","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","1.4","0","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028060-8"
"MS-028060-2","MS","MS - Sendust","60","33","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028060-2"
"MS-028075-8","MS","MS - Sendust","75","42","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028075-8"
"MS-028075-2","MS","MS - Sendust","75","42","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028075-2"
"MS-028090-2","MS","MS - Sendust","90","50","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028090-2"
"MS-028090-8","MS","MS - Sendust","90","50","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","0.88",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028090-8"
"MS-028125-8","MS","MS - Sendust","125","70","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028125-8"
"MS-028125-2","MS","MS - Sendust","125","70","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","0.54",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028125-2"
"MS-028147-8","MS","MS - Sendust","147","81","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028147-8"
"MS-028147-2","MS","MS - Sendust","147","81","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","0.45",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028147-2"
"MS-028160-2","MS","MS - Sendust","160","89","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","0.41",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028160-2"
"MS-028160-8","MS","MS - Sendust","160","89","0.277","0.156","0.2","7.0358","3.9624","5.08","0.075","1.68","0.126","0.41","233","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-028160-8"
"MS-031014-8","MS","MS - Sendust","14","6","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031014-8"
"MS-031014-2","MS","MS - Sendust","14","6","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","6.6",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031014-2"
"MS-031026-8","MS","MS - Sendust","26","14","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","3.1","175","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031026-8"
"MS-031026-2","MS","MS - Sendust","26","14","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","3.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031026-2"
"MS-031040-2","MS","MS - Sendust","40","17","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031040-2"
"MS-031040-8","MS","MS - Sendust","40","17","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","1.7",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031040-8"
"MS-031060-8","MS","MS - Sendust","60","25","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","1.4","640","/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031060-8"
"MS-031060-2","MS","MS - Sendust","60","25","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","1.4",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031060-2"
"MS-031075-8","MS","MS - Sendust","75","31","0.31","0.156","0.125","7.874","3.9624","3.175","0.0615","1.79","0.11","1.1",,"/design-and-applications/design-tools/inductor-analyzer/?partnumber=MS-031075-8"
