matrix_id,case_id,topology_id,status,operating_point_input_checksum,hardware_snapshot_checksum,waveform_metrics_checksum
09_llc_half_bridge_diode,c04_nominal_light_load_20pct,llc_resonant_converter_diode_rectifier,executed,d05374d1e514db325a755e779dbbc9a189fc39345c53fc73faffbfdbeac324ea,14f658dd70d97e4b5239af39bc1d99b490a690e48f9e0616067cdfede7485976,6d85af1b7a5550b39f3b92002cfd2975431128c7e8add6b5fc1fa5b98c14f1bb
09_llc_half_bridge_diode,c05_nominal_very_light_load_10pct,llc_resonant_converter_diode_rectifier,executed,6510c2b9af340e3874f9f6d590b67b9a34fcfe49fe29c98b7da65a414189b4e1,14f658dd70d97e4b5239af39bc1d99b490a690e48f9e0616067cdfede7485976,ff9befa3f3d557aecc3ca6463491430c914e527e6148f92be67afbeb9d9e360b
09_llc_half_bridge_diode,c06_nominal_high_frequency,llc_resonant_converter_diode_rectifier,executed,d44896512e0064cbc4c8585b4b8f88fce9d305f3f1dc22934db7e90d96acafa6,14f658dd70d97e4b5239af39bc1d99b490a690e48f9e0616067cdfede7485976,2976f235bb8f8b3aba1d3293b2700e11efabb291c5b4f408e588b8c921b3036f
09_llc_half_bridge_diode,c07_nominal_relaxed_ripple,llc_resonant_converter_diode_rectifier,executed,99c48f0a41a12991f3c54717839c94c6ef6c2e7e6e6fffe244d3eda67119f628,14f658dd70d97e4b5239af39bc1d99b490a690e48f9e0616067cdfede7485976,1c367cff585107b9900d014d4bb8b85dabcc95f3141a9887f504c407f2490c76
10_single_phase_capacitor_rectifier,c01_nominal_full_load,single_phase_diode_bridge_rectifier_capacitor_filter,executed,205ee6eea910f4e850a84144468eb4b10383cd758441ec6107e1f7961de0d73b,d2694eb294383967719dd60369a0b530025d28e6ca12d802b24b8922defbdf4c,e76564aaf07b77ebd6e912c9e50a3b6ac73b1f438809e2eda7572bd363c2711c
10_single_phase_capacitor_rectifier,c02_low_input_full_load,single_phase_diode_bridge_rectifier_capacitor_filter,executed,9d67b9de87a68434ae8d5135c6e2aa288f83bf2113e55db86ec56c26f3954920,d2694eb294383967719dd60369a0b530025d28e6ca12d802b24b8922defbdf4c,e76564aaf07b77ebd6e912c9e50a3b6ac73b1f438809e2eda7572bd363c2711c
10_single_phase_capacitor_rectifier,c03_high_input_full_load,single_phase_diode_bridge_rectifier_capacitor_filter,executed,457ec2f11b037fe432af3dd0491d1d1a3b94637cc443723adf65ab4d46122aae,d2694eb294383967719dd60369a0b530025d28e6ca12d802b24b8922defbdf4c,e76564aaf07b77ebd6e912c9e50a3b6ac73b1f438809e2eda7572bd363c2711c
10_single_phase_capacitor_rectifier,c04_nominal_light_load_20pct,single_phase_diode_bridge_rectifier_capacitor_filter,executed,d281963845e8be6b30540db7a7e6ffc6518b446e6a30fdec493924ee242330ad,d2694eb294383967719dd60369a0b530025d28e6ca12d802b24b8922defbdf4c,f70c0199c49024227189d805df38ff931d374df1aacfef5d8bd2e359b9346785
10_single_phase_capacitor_rectifier,c05_nominal_high_ripple,single_phase_diode_bridge_rectifier_capacitor_filter,executed,b31c134b5bf6fafcda9c7c5fbfa8d34ba789f53f847465f47efbb51469e3a576,d2694eb294383967719dd60369a0b530025d28e6ca12d802b24b8922defbdf4c,e76564aaf07b77ebd6e912c9e50a3b6ac73b1f438809e2eda7572bd363c2711c
11_single_phase_dc_inductor_rectifier,c01_nominal_full_load,single_phase_diode_bridge_rectifier_dc_inductor_filter,executed,356247a0203f0d289308043de38f0d9e697b1c9d01b291e158aa1c9e08953e45,da1276bc7464b620734c75d78ee992538d5b17d782c293c41a7db1eca1f9f38a,6eb3df7b9fff1f34159c2fbcbd3801dbc2ddac7185aaae4a980f859918168c84
11_single_phase_dc_inductor_rectifier,c02_low_input_full_load,single_phase_diode_bridge_rectifier_dc_inductor_filter,executed,656856f1a17f430bcbed3d3d1336c0478e74ca09836e070324d0322de055c3a7,da1276bc7464b620734c75d78ee992538d5b17d782c293c41a7db1eca1f9f38a,6eb3df7b9fff1f34159c2fbcbd3801dbc2ddac7185aaae4a980f859918168c84
11_single_phase_dc_inductor_rectifier,c03_high_input_full_load,single_phase_diode_bridge_rectifier_dc_inductor_filter,executed,32680381f31103d890e66020f122dd117e829924757bbb477a4254fdcfda9e80,da1276bc7464b620734c75d78ee992538d5b17d782c293c41a7db1eca1f9f38a,6eb3df7b9fff1f34159c2fbcbd3801dbc2ddac7185aaae4a980f859918168c84
11_single_phase_dc_inductor_rectifier,c04_nominal_light_load_20pct,single_phase_diode_bridge_rectifier_dc_inductor_filter,executed,77db6d8b50709547a14eebfb9a0e892f70b96c4274ec779134351d11f970b6da,da1276bc7464b620734c75d78ee992538d5b17d782c293c41a7db1eca1f9f38a,812e343710b4b593dda67d8466b2cf270c2688395bf67860a69eec541976512e
11_single_phase_dc_inductor_rectifier,c05_nominal_high_ripple,single_phase_diode_bridge_rectifier_dc_inductor_filter,executed,4b296d4f3eede194be168d606abf81e92e1ca24cfbf070d42b55f7e6ccd8bd6d,da1276bc7464b620734c75d78ee992538d5b17d782c293c41a7db1eca1f9f38a,6eb3df7b9fff1f34159c2fbcbd3801dbc2ddac7185aaae4a980f859918168c84
12_three_phase_capacitor_rectifier,c01_nominal_full_load,three_phase_diode_bridge_rectifier_capacitor_filter,executed,9a3f59b0e7d14583e832ee2649c224c16ee6b5f5ea1ed35d6ba4a35525274dca,c1d9faf51ba029d85e5f40c45b199e25a580d0363b6e15a1296ee725e6dfa5ef,6b25b4624e7820a0cffb0c859b1050abaec679bbce86b2a940172f89a31d917e
